mts,ts_utc,open,close,high,low,volume,candle_key,raw
1786407240000,2026-08-11T00:14:00+00:00,0.00015,0.00015,0.00015,0.00015,185.02299222,trade:1m:fUSD:a30:p2:p30,"[1786407240000, 0.00015, 0.00015, 0.00015, 0.00015, 185.02299222]"
1786407480000,2026-08-11T00:18:00+00:00,0.00015,0.00015,0.00015,0.00015,329.03773267,trade:1m:fUSD:a30:p2:p30,"[1786407480000, 0.00015, 0.00015, 0.00015, 0.00015, 329.03773267]"
1786407780000,2026-08-11T00:23:00+00:00,0.00015,0.00015,0.00015,0.00015,349.05519616,trade:1m:fUSD:a30:p2:p30,"[1786407780000, 0.00015, 0.00015, 0.00015, 0.00015, 349.05519616]"
1786407960000,2026-08-11T00:26:00+00:00,0.000144,0.000144,0.000144,0.000144,246.27205656,trade:1m:fUSD:a30:p2:p30,"[1786407960000, 0.000144, 0.000144, 0.000144, 0.000144, 246.27205656]"
1786408200000,2026-08-11T00:30:00+00:00,0.000144,0.00015,0.00015,0.000144,260348.20047296,trade:1m:fUSD:a30:p2:p30,"[1786408200000, 0.000144, 0.00015, 0.00015, 0.000144, 260348.20047296]"
