mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1785024300000,2026-07-26T00:05:00+00:00,9.7e-07,85.52,5914481703.699659,5864615041.990428,736780221.5741173,"[1785024300000, null, null, 9.7e-07, 85.52, null, null, 5914481703.699659, 5864615041.990428, null, null, 736780221.5741173]"
1785045900000,2026-07-26T06:05:00+00:00,9.7e-07,86.06,5913903792.187845,5863387601.836343,739028666.5282657,"[1785045900000, null, null, 9.7e-07, 86.06, null, null, 5913903792.187845, 5863387601.836343, null, null, 739028666.5282657]"
1785060300000,2026-07-26T10:05:00+00:00,9.7e-07,87,5916693500.464719,5860457182.720431,709904587.3755908,"[1785060300000, null, null, 9.7e-07, 87, null, null, 5916693500.464719, 5860457182.720431, null, null, 709904587.3755908]"
1785074700000,2026-07-26T14:05:00+00:00,9.7e-07,85.22,5977916887.036728,5943003860.465144,660120132.3881176,"[1785074700000, null, null, 9.7e-07, 85.22, null, null, 5977916887.036728, 5943003860.465144, null, null, 660120132.3881176]"
1785078300000,2026-07-26T15:05:00+00:00,9.7e-07,85.33,5977540720.916528,5942152892.948685,660626173.4236196,"[1785078300000, null, null, 9.7e-07, 85.33, null, null, 5977540720.916528, 5942152892.948685, null, null, 660626173.4236196]"
1785081900000,2026-07-26T16:05:00+00:00,9.7e-07,87.25,5991938512.56205,5939080410.245617,671150615.9846268,"[1785081900000, null, null, 9.7e-07, 87.25, null, null, 5991938512.56205, 5939080410.245617, null, null, 671150615.9846268]"
1785085500000,2026-07-26T17:05:00+00:00,9.7e-07,87.82,6000954486.382975,5939375847.794107,670494849.4503108,"[1785085500000, null, null, 9.7e-07, 87.82, null, null, 6000954486.382975, 5939375847.794107, null, null, 670494849.4503108]"
1785099900000,2026-07-26T21:05:00+00:00,9.6e-07,82.39,6033538233.844672,6006768876.542917,612795720.1306385,"[1785099900000, null, null, 9.6e-07, 82.39, null, null, 6033538233.844672, 6006768876.542917, null, null, 612795720.1306385]"
1785103500000,2026-07-26T22:05:00+00:00,9.6e-07,82.54,6032055398.530901,6005173008.687494,614073543.7202029,"[1785103500000, null, null, 9.6e-07, 82.54, null, null, 6032055398.530901, 6005173008.687494, null, null, 614073543.7202029]"
1785107100000,2026-07-26T23:05:00+00:00,9.6e-07,82.72,6030643270.292014,6003785199.5512,612712342.5192182,"[1785107100000, null, null, 9.6e-07, 82.72, null, null, 6030643270.292014, 6003785199.5512, null, null, 612712342.5192182]"
