mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1786248300000,2026-08-09T04:05:00+00:00,9.1e-07,89.39,6030167987.555839,5964661170.021773,611497390.4446346,"[1786248300000, null, null, 9.1e-07, 89.39, null, null, 6030167987.555839, 5964661170.021773, null, null, 611497390.4446346]"
1786251900000,2026-08-09T05:05:00+00:00,9.1e-07,88.91,6029816921.649323,5963558035.2938795,610044973.1546592,"[1786251900000, null, null, 9.1e-07, 88.91, null, null, 6029816921.649323, 5963558035.2938795, null, null, 610044973.1546592]"
1786262700000,2026-08-09T08:05:00+00:00,9.1e-07,89,6030984659.071886,5965052268.518501,609961342.9574816,"[1786262700000, null, null, 9.1e-07, 89, null, null, 6030984659.071886, 5965052268.518501, null, null, 609961342.9574816]"
1786266300000,2026-08-09T09:05:00+00:00,9.1e-07,88.92,6030909041.096653,5965018909.751896,610269098.4355788,"[1786266300000, null, null, 9.1e-07, 88.92, null, null, 6030909041.096653, 5965018909.751896, null, null, 610269098.4355788]"
1786269900000,2026-08-09T10:05:00+00:00,9.1e-07,89.06,6030341918.193593,5964439848.843471,609861161.9674275,"[1786269900000, null, null, 9.1e-07, 89.06, null, null, 6030341918.193593, 5964439848.843471, null, null, 609861161.9674275]"
1786273500000,2026-08-09T11:05:00+00:00,9.1e-07,88.97,6030697709.493764,5964468402.434008,610421552.4526715,"[1786273500000, null, null, 9.1e-07, 88.97, null, null, 6030697709.493764, 5964468402.434008, null, null, 610421552.4526715]"
1786277100000,2026-08-09T12:05:00+00:00,9.1e-07,89.46,6029856240.31799,5963611116.603217,610917244.2916147,"[1786277100000, null, null, 9.1e-07, 89.46, null, null, 6029856240.31799, 5963611116.603217, null, null, 610917244.2916147]"
1786280700000,2026-08-09T13:05:00+00:00,9.1e-07,88.07,6039149302.173229,5964280908.473894,603762967.758054,"[1786280700000, null, null, 9.1e-07, 88.07, null, null, 6039149302.173229, 5964280908.473894, null, null, 603762967.758054]"
1786295100000,2026-08-09T17:05:00+00:00,9.1e-07,87.76,6037026882.764723,5962234952.672186,607880679.3223221,"[1786295100000, null, null, 9.1e-07, 87.76, null, null, 6037026882.764723, 5962234952.672186, null, null, 607880679.3223221]"
1786298700000,2026-08-09T18:05:00+00:00,9.1e-07,88.23,6045246938.757004,5961500079.576816,609242879.7733853,"[1786298700000, null, null, 9.1e-07, 88.23, null, null, 6045246938.757004, 5961500079.576816, null, null, 609242879.7733853]"
1786309500000,2026-08-09T21:05:00+00:00,9.1e-07,87.88,6044776941.758232,5961029456.910479,610228102.1797007,"[1786309500000, null, null, 9.1e-07, 87.88, null, null, 6044776941.758232, 5961029456.910479, null, null, 610228102.1797007]"
1786313100000,2026-08-09T22:05:00+00:00,9.1e-07,87.84,6043612800.860121,5959818934.420308,606551678.799952,"[1786313100000, null, null, 9.1e-07, 87.84, null, null, 6043612800.860121, 5959818934.420308, null, null, 606551678.799952]"
