mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1778371500000,2026-05-10T00:05:00+00:00,1.14e-06,94.88,5285903333.869543,5242861341.34077,256524025.06725582,"[1778371500000, null, null, 1.14e-06, 94.88, null, null, 5285903333.869543, 5242861341.34077, null, null, 256524025.06725582]"
1778385900000,2026-05-10T04:05:00+00:00,1.14e-06,95.41,5270444132.383871,5225735783.28778,272626699.8121251,"[1778385900000, null, null, 1.14e-06, 95.41, null, null, 5270444132.383871, 5225735783.28778, null, null, 272626699.8121251]"
1778400300000,2026-05-10T08:05:00+00:00,1.14e-06,95.33,5421611223.168939,5173547689.872297,190722239.6275784,"[1778400300000, null, null, 1.14e-06, 95.33, null, null, 5421611223.168939, 5173547689.872297, null, null, 190722239.6275784]"
