mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1775437500000,2026-04-06T01:05:00+00:00,1.28e-06,100.44,5825298415.659002,5773472463.876858,451930915.3991144,"[1775437500000, null, null, 1.28e-06, 100.44, null, null, 5825298415.659002, 5773472463.876858, null, null, 451930915.3991144]"
1775448300000,2026-04-06T04:05:00+00:00,1.28e-06,100.28,5826732469.894209,5774932920.785874,455043511.1995442,"[1775448300000, null, null, 1.28e-06, 100.28, null, null, 5826732469.894209, 5774932920.785874, null, null, 455043511.1995442]"
1775455500000,2026-04-06T06:05:00+00:00,1.28e-06,99.91,5827720803.118663,5775934933.931857,487374626.5501644,"[1775455500000, null, null, 1.28e-06, 99.91, null, null, 5827720803.118663, 5775934933.931857, null, null, 487374626.5501644]"
1775466300000,2026-04-06T09:05:00+00:00,1.28e-06,100.29,5815321561.56918,5766798355.7172,484375854.7064014,"[1775466300000, null, null, 1.28e-06, 100.29, null, null, 5815321561.56918, 5766798355.7172, null, null, 484375854.7064014]"
1775469900000,2026-04-06T10:05:00+00:00,1.28e-06,99.78,5819489776.254302,5770999209.391697,490223228.9566757,"[1775469900000, null, null, 1.28e-06, 99.78, null, null, 5819489776.254302, 5770999209.391697, null, null, 490223228.9566757]"
1775473500000,2026-04-06T11:05:00+00:00,1.28e-06,99.45,5819345684.763916,5770736720.921125,489949377.3993764,"[1775473500000, null, null, 1.28e-06, 99.45, null, null, 5819345684.763916, 5770736720.921125, null, null, 489949377.3993764]"
1775480700000,2026-04-06T13:05:00+00:00,1.28e-06,99.5,5815452930.599925,5766837548.628533,490113520.62206733,"[1775480700000, null, null, 1.28e-06, 99.5, null, null, 5815452930.599925, 5766837548.628533, null, null, 490113520.62206733]"
1775484300000,2026-04-06T14:05:00+00:00,1.28e-06,98.61,5819344482.104222,5771025283.382001,489511451.75515723,"[1775484300000, null, null, 1.28e-06, 98.61, null, null, 5819344482.104222, 5771025283.382001, null, null, 489511451.75515723]"
1775487900000,2026-04-06T15:05:00+00:00,1.28e-06,99.18,5817514452.909612,5769198846.96591,491476134.45483553,"[1775487900000, null, null, 1.28e-06, 99.18, null, null, 5817514452.909612, 5769198846.96591, null, null, 491476134.45483553]"
1775495100000,2026-04-06T17:05:00+00:00,1.28e-06,99.13,5818071748.139195,5769843226.602053,497776077.01840955,"[1775495100000, null, null, 1.28e-06, 99.13, null, null, 5818071748.139195, 5769843226.602053, null, null, 497776077.01840955]"
1775498700000,2026-04-06T18:05:00+00:00,1.28e-06,98.71,5813434311.945485,5765186466.999786,487184146.7520106,"[1775498700000, null, null, 1.28e-06, 98.71, null, null, 5813434311.945485, 5765186466.999786, null, null, 487184146.7520106]"
1775505900000,2026-04-06T20:05:00+00:00,1.28e-06,98.99,5813906234.076865,5765815241.152012,496784037.91993815,"[1775505900000, null, null, 1.28e-06, 98.99, null, null, 5813906234.076865, 5765815241.152012, null, null, 496784037.91993815]"
1775509500000,2026-04-06T21:05:00+00:00,1.28e-06,99.37,5811288585.257376,5763156702.4761305,495563333.9299389,"[1775509500000, null, null, 1.28e-06, 99.37, null, null, 5811288585.257376, 5763156702.4761305, null, null, 495563333.9299389]"
1775513100000,2026-04-06T22:05:00+00:00,1.28e-06,99.58,5804019616.110253,5758863151.2753725,495367753.3865271,"[1775513100000, null, null, 1.28e-06, 99.58, null, null, 5804019616.110253, 5758863151.2753725, null, null, 495367753.3865271]"
