mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1782137100000,2026-06-22T14:05:00+00:00,1.03e-06,68.62,5915853767.788998,5873336779.766321,480491684.0070553,"[1782137100000, null, null, 1.03e-06, 68.62, null, null, 5915853767.788998, 5873336779.766321, null, null, 480491684.0070553]"
1782151500000,2026-06-22T18:05:00+00:00,1.04e-06,74.27,5916913680.940675,5869583395.537024,493571971.9433991,"[1782151500000, null, null, 1.04e-06, 74.27, null, null, 5916913680.940675, 5869583395.537024, null, null, 493571971.9433991]"
1782162300000,2026-06-22T21:05:00+00:00,1.04e-06,73.58,5881887399.214436,5834871463.399479,511147010.04897624,"[1782162300000, null, null, 1.04e-06, 73.58, null, null, 5881887399.214436, 5834871463.399479, null, null, 511147010.04897624]"
