mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1787191500000,2026-08-20T02:05:00+00:00,8.6e-07,88.01,6021948245.714794,5934520713.927694,771041772.4439092,"[1787191500000, null, null, 8.6e-07, 88.01, null, null, 6021948245.714794, 5934520713.927694, null, null, 771041772.4439092]"
1787195100000,2026-08-20T03:05:00+00:00,8.6e-07,88.31,6021637840.164522,5934140886.28374,771683923.1015376,"[1787195100000, null, null, 8.6e-07, 88.31, null, null, 6021637840.164522, 5934140886.28374, null, null, 771683923.1015376]"
1787198700000,2026-08-20T04:05:00+00:00,8.6e-07,88.86,6035705307.678751,5933718106.850065,772794373.0111685,"[1787198700000, null, null, 8.6e-07, 88.86, null, null, 6035705307.678751, 5933718106.850065, null, null, 772794373.0111685]"
1787202300000,2026-08-20T05:05:00+00:00,8.6e-07,88.81,6035447359.3524685,5933494108.541447,772387147.7634542,"[1787202300000, null, null, 8.6e-07, 88.81, null, null, 6035447359.3524685, 5933494108.541447, null, null, 772387147.7634542]"
1787205900000,2026-08-20T06:05:00+00:00,8.6e-07,88.65,6035195722.460624,5933268364.493616,751150074.543828,"[1787205900000, null, null, 8.6e-07, 88.65, null, null, 6035195722.460624, 5933268364.493616, null, null, 751150074.543828]"
1787209500000,2026-08-20T07:05:00+00:00,8.6e-07,88.37,6034411042.266944,5932684152.986641,741802034.8588816,"[1787209500000, null, null, 8.6e-07, 88.37, null, null, 6034411042.266944, 5932684152.986641, null, null, 741802034.8588816]"
1787216700000,2026-08-20T09:05:00+00:00,8.6e-07,87.35,6037780573.447373,5935386948.811611,737127375.1340047,"[1787216700000, null, null, 8.6e-07, 87.35, null, null, 6037780573.447373, 5935386948.811611, null, null, 737127375.1340047]"
1787220300000,2026-08-20T10:05:00+00:00,8.6e-07,86.77,6035897894.654684,5933699481.430983,737255233.8627928,"[1787220300000, null, null, 8.6e-07, 86.77, null, null, 6035897894.654684, 5933699481.430983, null, null, 737255233.8627928]"
1787223900000,2026-08-20T11:05:00+00:00,8.6e-07,86.73,6005279094.438897,5818565668.106303,744156265.5144062,"[1787223900000, null, null, 8.6e-07, 86.73, null, null, 6005279094.438897, 5818565668.106303, null, null, 744156265.5144062]"
1787231100000,2026-08-20T13:05:00+00:00,8.6e-07,86.02,6025305160.786096,6002340428.811936,735963569.5426302,"[1787231100000, null, null, 8.6e-07, 86.02, null, null, 6025305160.786096, 6002340428.811936, null, null, 735963569.5426302]"
1787234700000,2026-08-20T14:05:00+00:00,8.6e-07,85.75,6022017569.94541,5999737142.838028,735817763.4256678,"[1787234700000, null, null, 8.6e-07, 85.75, null, null, 6022017569.94541, 5999737142.838028, null, null, 735817763.4256678]"
1787238300000,2026-08-20T15:05:00+00:00,8.6e-07,85.88,6024900580.833408,6002677500.645691,735784104.4493561,"[1787238300000, null, null, 8.6e-07, 85.88, null, null, 6024900580.833408, 6002677500.645691, null, null, 735784104.4493561]"
