mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1778979900000,2026-05-17T01:05:00+00:00,1.1e-06,99.77,5319795658.579527,5291731995.211276,223928404.61604452,"[1778979900000, null, null, 1.1e-06, 99.77, null, null, 5319795658.579527, 5291731995.211276, null, null, 223928404.61604452]"
1778994300000,2026-05-17T05:05:00+00:00,1.11e-06,100.5,5314109988.869657,5285844388.458373,226328881.25861433,"[1778994300000, null, null, 1.11e-06, 100.5, null, null, 5314109988.869657, 5285844388.458373, null, null, 226328881.25861433]"
1779008700000,2026-05-17T09:05:00+00:00,1.11e-06,99.24,5295007305.167177,5286551190.656903,223070607.7059381,"[1779008700000, null, null, 1.11e-06, 99.24, null, null, 5295007305.167177, 5286551190.656903, null, null, 223070607.7059381]"
1779026700000,2026-05-17T14:05:00+00:00,1.1e-06,99.97,5294966339.353442,5286320621.725213,246748139.44635755,"[1779026700000, null, null, 1.1e-06, 99.97, null, null, 5294966339.353442, 5286320621.725213, null, null, 246748139.44635755]"
1779030300000,2026-05-17T15:05:00+00:00,1.1e-06,99.94,5298065202.237604,5288483988.59321,259831487.75885332,"[1779030300000, null, null, 1.1e-06, 99.94, null, null, 5298065202.237604, 5288483988.59321, null, null, 259831487.75885332]"
1779033900000,2026-05-17T16:05:00+00:00,1.1e-06,100.16,5297941550.991408,5286476481.132429,260992323.94815096,"[1779033900000, null, null, 1.1e-06, 100.16, null, null, 5297941550.991408, 5286476481.132429, null, null, 260992323.94815096]"
