mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1775790300000,2026-04-10T03:05:00+00:00,1.27e-06,95.41,5884535794.808388,5686837504.257469,445880523.951896,"[1775790300000, null, null, 1.27e-06, 95.41, null, null, 5884535794.808388, 5686837504.257469, null, null, 445880523.951896]"
1775804700000,2026-04-10T07:05:00+00:00,1.27e-06,95.48,5886703183.762347,5680178638.531667,441660675.34957695,"[1775804700000, null, null, 1.27e-06, 95.48, null, null, 5886703183.762347, 5680178638.531667, null, null, 441660675.34957695]"
1775819100000,2026-04-10T11:05:00+00:00,1.27e-06,95.33,5884081264.336005,5677650696.54104,443065327.8297882,"[1775819100000, null, null, 1.27e-06, 95.33, null, null, 5884081264.336005, 5677650696.54104, null, null, 443065327.8297882]"
