mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1779494700000,2026-05-23T00:05:00+00:00,1.09e-06,101.39,5415427877.6617565,5366690757.616091,291140188.1235543,"[1779494700000, null, null, 1.09e-06, 101.39, null, null, 5415427877.6617565, 5366690757.616091, null, null, 291140188.1235543]"
1779509100000,2026-05-23T04:05:00+00:00,1.09e-06,101.17,5416542395.492482,5366246072.21084,291918058.26696855,"[1779509100000, null, null, 1.09e-06, 101.17, null, null, 5416542395.492482, 5366246072.21084, null, null, 291918058.26696855]"
1779530700000,2026-05-23T10:05:00+00:00,1.09e-06,101.69,5411412542.439335,5360868152.825586,293856710.1574335,"[1779530700000, null, null, 1.09e-06, 101.69, null, null, 5411412542.439335, 5360868152.825586, null, null, 293856710.1574335]"
1779545100000,2026-05-23T14:05:00+00:00,1.08e-06,101.6,5420800936.986951,5370221485.923778,282652377.0513351,"[1779545100000, null, null, 1.08e-06, 101.6, null, null, 5420800936.986951, 5370221485.923778, null, null, 282652377.0513351]"
1779548700000,2026-05-23T15:05:00+00:00,1.09e-06,101.63,5418528897.265265,5367564906.358932,282292205.0872075,"[1779548700000, null, null, 1.09e-06, 101.63, null, null, 5418528897.265265, 5367564906.358932, null, null, 282292205.0872075]"
1779552300000,2026-05-23T16:05:00+00:00,1.09e-06,101.53,5418022608.557227,5367049560.894349,285635577.7367781,"[1779552300000, null, null, 1.09e-06, 101.53, null, null, 5418022608.557227, 5367049560.894349, null, null, 285635577.7367781]"
1779555900000,2026-05-23T17:05:00+00:00,1.09e-06,101.63,5394483106.185882,5344503960.796752,290612866.6484499,"[1779555900000, null, null, 1.09e-06, 101.63, null, null, 5394483106.185882, 5344503960.796752, null, null, 290612866.6484499]"
1779559500000,2026-05-23T18:05:00+00:00,1.09e-06,100.97,5413993440.299125,5364007930.315357,271918238.7685411,"[1779559500000, null, null, 1.09e-06, 100.97, null, null, 5413993440.299125, 5364007930.315357, null, null, 271918238.7685411]"
1779566700000,2026-05-23T20:05:00+00:00,1.09e-06,100.55,5414790515.366578,5365463875.990509,269790174.61702514,"[1779566700000, null, null, 1.09e-06, 100.55, null, null, 5414790515.366578, 5365463875.990509, null, null, 269790174.61702514]"
1779570300000,2026-05-23T21:05:00+00:00,1.09e-06,100.53,5414328137.595896,5364998129.159827,272855568.3968983,"[1779570300000, null, null, 1.09e-06, 100.53, null, null, 5414328137.595896, 5364998129.159827, null, null, 272855568.3968983]"
1779573900000,2026-05-23T22:05:00+00:00,1.09e-06,100.08,5415844485.981015,5366504394.034754,271907333.20938927,"[1779573900000, null, null, 1.09e-06, 100.08, null, null, 5415844485.981015, 5366504394.034754, null, null, 271907333.20938927]"
1779577500000,2026-05-23T23:05:00+00:00,1.09e-06,100.19,5415252345.052303,5365905722.911326,270004779.3434851,"[1779577500000, null, null, 1.09e-06, 100.19, null, null, 5415252345.052303, 5365905722.911326, null, null, 270004779.3434851]"
