mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1782518700000,2026-06-27T00:05:00+00:00,1.02e-06,82.38,6022045597.768354,5859654269.691089,468240813.0103131,"[1782518700000, null, null, 1.02e-06, 82.38, null, null, 6022045597.768354, 5859654269.691089, null, null, 468240813.0103131]"
1782533100000,2026-06-27T04:05:00+00:00,1.02e-06,82.64,6025234312.962115,5860418216.377219,462978812.93734705,"[1782533100000, null, null, 1.02e-06, 82.64, null, null, 6025234312.962115, 5860418216.377219, null, null, 462978812.93734705]"
1782543900000,2026-06-27T07:05:00+00:00,1.02e-06,82.78,6021569019.955749,5858257817.579422,464561198.2822276,"[1782543900000, null, null, 1.02e-06, 82.78, null, null, 6021569019.955749, 5858257817.579422, null, null, 464561198.2822276]"
1782558300000,2026-06-27T11:05:00+00:00,1.03e-06,82.94,5996400135.88625,5830809486.75711,485110061.2555099,"[1782558300000, null, null, 1.03e-06, 82.94, null, null, 5996400135.88625, 5830809486.75711, null, null, 485110061.2555099]"
1782561900000,2026-06-27T12:05:00+00:00,1.03e-06,82.99,6002059340.642311,5836374300.491329,479496846.61794454,"[1782561900000, null, null, 1.03e-06, 82.99, null, null, 6002059340.642311, 5836374300.491329, null, null, 479496846.61794454]"
1782569100000,2026-06-27T14:05:00+00:00,1.03e-06,83.06,5982613135.541184,5816754895.398694,491847629.7241657,"[1782569100000, null, null, 1.03e-06, 83.06, null, null, 5982613135.541184, 5816754895.398694, null, null, 491847629.7241657]"
1782594300000,2026-06-27T21:05:00+00:00,1.02e-06,82.08,5999436273.389463,5910298251.386503,339834845.00503355,"[1782594300000, null, null, 1.02e-06, 82.08, null, null, 5999436273.389463, 5910298251.386503, null, null, 339834845.00503355]"
1782597900000,2026-06-27T22:05:00+00:00,1.02e-06,83.14,5982226232.325677,5889054594.728116,490197342.7515337,"[1782597900000, null, null, 1.02e-06, 83.14, null, null, 5982226232.325677, 5889054594.728116, null, null, 490197342.7515337]"
1782601500000,2026-06-27T23:05:00+00:00,1.02e-06,82.93,5984273438.259245,5890388047.066599,491008984.6693717,"[1782601500000, null, null, 1.02e-06, 82.93, null, null, 5984273438.259245, 5890388047.066599, null, null, 491008984.6693717]"
