mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1787277900000,2026-08-21T02:05:00+00:00,8.6e-07,86.2,6034801914.948189,6000921382.513735,735838989.5288494,"[1787277900000, null, null, 8.6e-07, 86.2, null, null, 6034801914.948189, 6000921382.513735, null, null, 735838989.5288494]"
1787281500000,2026-08-21T03:05:00+00:00,8.6e-07,86.27,6033201069.258495,5999160649.243691,736466656.6002159,"[1787281500000, null, null, 8.6e-07, 86.27, null, null, 6033201069.258495, 5999160649.243691, null, null, 736466656.6002159]"
1787288700000,2026-08-21T05:05:00+00:00,8.6e-07,86.48,6059055022.82438,5998510431.264618,732767132.9222636,"[1787288700000, null, null, 8.6e-07, 86.48, null, null, 6059055022.82438, 5998510431.264618, null, null, 732767132.9222636]"
1787292300000,2026-08-21T06:05:00+00:00,8.6e-07,85.84,6061321452.996513,6000445488.452777,736312292.4545022,"[1787292300000, null, null, 8.6e-07, 85.84, null, null, 6061321452.996513, 6000445488.452777, null, null, 736312292.4545022]"
1787295900000,2026-08-21T07:05:00+00:00,8.6e-07,86.74,6055057707.937374,5996829122.788994,739911828.6107152,"[1787295900000, null, null, 8.6e-07, 86.74, null, null, 6055057707.937374, 5996829122.788994, null, null, 739911828.6107152]"
1787299500000,2026-08-21T08:05:00+00:00,8.6e-07,86.63,6053047592.8558,5976871543.178134,669509571.5592674,"[1787299500000, null, null, 8.6e-07, 86.63, null, null, 6053047592.8558, 5976871543.178134, null, null, 669509571.5592674]"
1787306700000,2026-08-21T10:05:00+00:00,8.6e-07,86.53,6000472373.805039,5972587917.021068,718691651.5972939,"[1787306700000, null, null, 8.6e-07, 86.53, null, null, 6000472373.805039, 5972587917.021068, null, null, 718691651.5972939]"
1787310300000,2026-08-21T11:05:00+00:00,8.6e-07,86.66,6024779085.830539,5973149115.348133,709922203.8147876,"[1787310300000, null, null, 8.6e-07, 86.66, null, null, 6024779085.830539, 5973149115.348133, null, null, 709922203.8147876]"
1787313900000,2026-08-21T12:05:00+00:00,8.6e-07,87.27,6013756369.990156,5962082968.469681,723112762.5690851,"[1787313900000, null, null, 8.6e-07, 87.27, null, null, 6013756369.990156, 5962082968.469681, null, null, 723112762.5690851]"
1787317500000,2026-08-21T13:05:00+00:00,8.6e-07,86.63,6014460314.349363,5962752458.121559,726933708.1453407,"[1787317500000, null, null, 8.6e-07, 86.63, null, null, 6014460314.349363, 5962752458.121559, null, null, 726933708.1453407]"
1787321100000,2026-08-21T14:05:00+00:00,8.6e-07,86.59,5999253168.883938,5947598879.635924,734382276.5861262,"[1787321100000, null, null, 8.6e-07, 86.59, null, null, 5999253168.883938, 5947598879.635924, null, null, 734382276.5861262]"
1787324700000,2026-08-21T15:05:00+00:00,8.6e-07,86.69,5997333200.316429,5945430787.657378,736125958.4966376,"[1787324700000, null, null, 8.6e-07, 86.69, null, null, 5997333200.316429, 5945430787.657378, null, null, 736125958.4966376]"
