mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1778202300000,2026-05-08T01:05:00+00:00,1.16e-06,95.42,5297374776.394553,5281143558.638496,157205546.5056808,"[1778202300000, null, null, 1.16e-06, 95.42, null, null, 5297374776.394553, 5281143558.638496, null, null, 157205546.5056808]"
1778213100000,2026-05-08T04:05:00+00:00,1.16e-06,95.53,5301057787.9424715,5285184687.543411,177956610.8621832,"[1778213100000, null, null, 1.16e-06, 95.53, null, null, 5301057787.9424715, 5285184687.543411, null, null, 177956610.8621832]"
1778220300000,2026-05-08T06:05:00+00:00,1.15e-06,95.7,5304776655.492646,5284531879.736518,177565466.44029784,"[1778220300000, null, null, 1.15e-06, 95.7, null, null, 5304776655.492646, 5284531879.736518, null, null, 177565466.44029784]"
1778231100000,2026-05-08T09:05:00+00:00,1.15e-06,95.54,5307525052.796338,5285215790.00895,188970339.4547235,"[1778231100000, null, null, 1.15e-06, 95.54, null, null, 5307525052.796338, 5285215790.00895, null, null, 188970339.4547235]"
