mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1785459900000,2026-07-31T01:05:00+00:00,9.5e-07,85.57,6089365568.452058,5995551905.864991,640021429.521617,"[1785459900000, null, null, 9.5e-07, 85.57, null, null, 6089365568.452058, 5995551905.864991, null, null, 640021429.521617]"
1785481500000,2026-07-31T07:05:00+00:00,9.5e-07,85.74,6087850219.264646,5993879207.348659,637996572.4175117,"[1785481500000, null, null, 9.5e-07, 85.74, null, null, 6087850219.264646, 5993879207.348659, null, null, 637996572.4175117]"
1785499500000,2026-07-31T12:05:00+00:00,9.5e-07,85.9,6087530078.871121,5993408801.217102,650412589.7784517,"[1785499500000, null, null, 9.5e-07, 85.9, null, null, 6087530078.871121, 5993408801.217102, null, null, 650412589.7784517]"
1785506700000,2026-07-31T14:05:00+00:00,9.5e-07,85.56,6085126028.406284,5990893171.9033575,646641557.5869265,"[1785506700000, null, null, 9.5e-07, 85.56, null, null, 6085126028.406284, 5990893171.9033575, null, null, 646641557.5869265]"
1785513900000,2026-07-31T16:05:00+00:00,9.5e-07,85.61,6085195304.007446,5991223077.787273,649847760.8653481,"[1785513900000, null, null, 9.5e-07, 85.61, null, null, 6085195304.007446, 5991223077.787273, null, null, 649847760.8653481]"
1785528300000,2026-07-31T20:05:00+00:00,9.5e-07,86.08,6077394141.211257,5982700071.582683,652500502.7427051,"[1785528300000, null, null, 9.5e-07, 86.08, null, null, 6077394141.211257, 5982700071.582683, null, null, 652500502.7427051]"
