mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1776560700000,2026-04-19T01:05:00+00:00,1.21e-06,94.94,5656552189.527691,5514015880.432407,463367806.7350324,"[1776560700000, null, null, 1.21e-06, 94.94, null, null, 5656552189.527691, 5514015880.432407, null, null, 463367806.7350324]"
1776571500000,2026-04-19T04:05:00+00:00,1.21e-06,94.46,5661600997.04225,5518888206.347317,461353586.5925385,"[1776571500000, null, null, 1.21e-06, 94.46, null, null, 5661600997.04225, 5518888206.347317, null, null, 461353586.5925385]"
1776578700000,2026-04-19T06:05:00+00:00,1.21e-06,94.38,5661114278.24113,5518583465.498637,460686919.0531621,"[1776578700000, null, null, 1.21e-06, 94.38, null, null, 5661114278.24113, 5518583465.498637, null, null, 460686919.0531621]"
1776589500000,2026-04-19T09:05:00+00:00,1.21e-06,94.57,5657604258.359562,5514166142.031669,458763022.33064526,"[1776589500000, null, null, 1.21e-06, 94.57, null, null, 5657604258.359562, 5514166142.031669, null, null, 458763022.33064526]"
1776593100000,2026-04-19T10:05:00+00:00,1.21e-06,94.45,5659393101.163995,5515925008.365385,459045536.31187874,"[1776593100000, null, null, 1.21e-06, 94.45, null, null, 5659393101.163995, 5515925008.365385, null, null, 459045536.31187874]"
1776596700000,2026-04-19T11:05:00+00:00,1.21e-06,94.43,5659119333.167617,5515595436.815045,456711314.1740019,"[1776596700000, null, null, 1.21e-06, 94.43, null, null, 5659119333.167617, 5515595436.815045, null, null, 456711314.1740019]"
1776603900000,2026-04-19T13:05:00+00:00,1.21e-06,94.57,5653901014.75184,5497022990.561227,453207082.90414286,"[1776603900000, null, null, 1.21e-06, 94.57, null, null, 5653901014.75184, 5497022990.561227, null, null, 453207082.90414286]"
1776611100000,2026-04-19T15:05:00+00:00,1.21e-06,92.5,5562942656.727985,5519889645.422396,479766470.7635105,"[1776611100000, null, null, 1.21e-06, 92.5, null, null, 5562942656.727985, 5519889645.422396, null, null, 479766470.7635105]"
1776618300000,2026-04-19T17:05:00+00:00,1.2e-06,92.27,5552778188.322399,5519935698.140869,528015649.6124185,"[1776618300000, null, null, 1.2e-06, 92.27, null, null, 5552778188.322399, 5519935698.140869, null, null, 528015649.6124185]"
1776625500000,2026-04-19T19:05:00+00:00,1.21e-06,92.57,5550519794.13215,5516962981.775464,545981035.7367638,"[1776625500000, null, null, 1.21e-06, 92.57, null, null, 5550519794.13215, 5516962981.775464, null, null, 545981035.7367638]"
1776632700000,2026-04-19T21:05:00+00:00,1.22e-06,93.59,5473215373.799443,5439613603.490401,596544091.8012952,"[1776632700000, null, null, 1.22e-06, 93.59, null, null, 5473215373.799443, 5439613603.490401, null, null, 596544091.8012952]"
1776636300000,2026-04-19T22:05:00+00:00,1.22e-06,93.65,5473335483.197167,5439604474.686474,596726539.3725607,"[1776636300000, null, null, 1.22e-06, 93.65, null, null, 5473335483.197167, 5439604474.686474, null, null, 596726539.3725607]"
