mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1788825900000,2026-09-08T00:05:00+00:00,8.5e-07,77.49,5855878497.032393,5821079759.46905,896110604.987861,"[1788825900000, null, null, 8.5e-07, 77.49, null, null, 5855878497.032393, 5821079759.46905, null, null, 896110604.987861]"
1788858300000,2026-09-08T09:05:00+00:00,8.5e-07,77.72,5853415001.591386,5817646286.365792,902261062.3667256,"[1788858300000, null, null, 8.5e-07, 77.72, null, null, 5853415001.591386, 5817646286.365792, null, null, 902261062.3667256]"
1788887100000,2026-09-08T17:05:00+00:00,8.5e-07,76.96,5939059646.956666,5904193207.04236,821764184.1436505,"[1788887100000, null, null, 8.5e-07, 76.96, null, null, 5939059646.956666, 5904193207.04236, null, null, 821764184.1436505]"
1788897900000,2026-09-08T20:05:00+00:00,8.5e-07,77.32,5933794676.825715,5898100087.474979,828920981.3150481,"[1788897900000, null, null, 8.5e-07, 77.32, null, null, 5933794676.825715, 5898100087.474979, null, null, 828920981.3150481]"
