mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1784343900000,2026-07-18T03:05:00+00:00,9.9e-07,85.67,5987270946.967612,5873840930.148678,523408030.49887365,"[1784343900000, null, null, 9.9e-07, 85.67, null, null, 5987270946.967612, 5873840930.148678, null, null, 523408030.49887365]"
1784358300000,2026-07-18T07:05:00+00:00,9.9e-07,86.44,5988075530.400454,5874251973.154471,520762287.9527398,"[1784358300000, null, null, 9.9e-07, 86.44, null, null, 5988075530.400454, 5874251973.154471, null, null, 520762287.9527398]"
1784369100000,2026-07-18T10:05:00+00:00,9.9e-07,86.46,5988212176.0716305,5874047660.754347,523133054.0597601,"[1784369100000, null, null, 9.9e-07, 86.46, null, null, 5988212176.0716305, 5874047660.754347, null, null, 523133054.0597601]"
1784372700000,2026-07-18T11:05:00+00:00,9.9e-07,86.64,5982620082.657857,5868437717.099555,521265397.5296596,"[1784372700000, null, null, 9.9e-07, 86.64, null, null, 5982620082.657857, 5868437717.099555, null, null, 521265397.5296596]"
1784376300000,2026-07-18T12:05:00+00:00,9.9e-07,86.78,5983502702.800925,5864757264.482925,628294000.598839,"[1784376300000, null, null, 9.9e-07, 86.78, null, null, 5983502702.800925, 5864757264.482925, null, null, 628294000.598839]"
1784387100000,2026-07-18T15:05:00+00:00,9.8e-07,87.39,6013140284.026617,5945857485.254981,562267343.0342648,"[1784387100000, null, null, 9.8e-07, 87.39, null, null, 6013140284.026617, 5945857485.254981, null, null, 562267343.0342648]"
1784390700000,2026-07-18T16:05:00+00:00,9.9e-07,88.29,5977571836.981155,5861617576.638791,566477015.112396,"[1784390700000, null, null, 9.9e-07, 88.29, null, null, 5977571836.981155, 5861617576.638791, null, null, 566477015.112396]"
1784394300000,2026-07-18T17:05:00+00:00,9.9e-07,89.27,5977484304.880465,5864477739.791993,575276640.1250228,"[1784394300000, null, null, 9.9e-07, 89.27, null, null, 5977484304.880465, 5864477739.791993, null, null, 575276640.1250228]"
1784397900000,2026-07-18T18:05:00+00:00,9.9e-07,89.06,5998055509.533765,5960930291.902834,554358275.0210913,"[1784397900000, null, null, 9.9e-07, 89.06, null, null, 5998055509.533765, 5960930291.902834, null, null, 554358275.0210913]"
1784405100000,2026-07-18T20:05:00+00:00,9.9e-07,89.33,5997829873.612006,5960489054.262021,559029365.5351592,"[1784405100000, null, null, 9.9e-07, 89.33, null, null, 5997829873.612006, 5960489054.262021, null, null, 559029365.5351592]"
